name|female|birthdate|birthplace|link
Rose Byrne|True|1979-07-24|['Balmain, New South Wales', ', Australia']|https://en.wikipedia.org/wiki/Rose_Byrne
Matt Dillon|False|1964-02-18|['New Rochelle, New York', ', U.S.']|https://en.wikipedia.org/wiki/Matt_Dillon
Rip Torn|False|1931-02-06|['Temple, Texas', ', U.S.']|https://en.wikipedia.org/wiki/Rip_Torn
Noureen DeWulf|True||['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Noureen_DeWulf
Magda Szubanski|True|1961-04-12|['Liverpool', ', ', 'Merseyside', ', England']|https://en.wikipedia.org/wiki/Magda_Szubanski
Miriam Margolyes|True|1941-05-18|['Oxford', ', England']|https://en.wikipedia.org/wiki/Miriam_Margolyes
Brendan Fraser|False|1968-12-03|['Indianapolis', ', Indiana, U.S.']|https://en.wikipedia.org/wiki/Brendan_Fraser
Asia Argento|True|1975-09-20|['Rome', ', Italy']|https://en.wikipedia.org/wiki/Asia_Argento
Zhang Ziyi|True|1979-02-09|['Beijing', ', China']|https://en.wikipedia.org/wiki/Zhang_Ziyi
Michelle Yeoh|True|1962-08-06|['Ipoh', ', ', 'Perak', ', ', 'Federation of Malaya', ' (now Malaysia)']|https://en.wikipedia.org/wiki/Michelle_Yeoh
Shirley Henderson|True|1965-11-24|['Forres', ', ', 'Moray', ', Scotland']|https://en.wikipedia.org/wiki/Shirley_Henderson
Terrence Howard|False|1969-03-11|['Chicago', ', ', 'Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Terrence_Howard
Jack Black|False|1969-08-28|['Santa Monica, California', ', U.S.']|https://en.wikipedia.org/wiki/Jack_Black
Danny Huston|False|1962-05-14|['Rome', ', Italy']|https://en.wikipedia.org/wiki/Danny_Huston
Youki Kudoh|True|1971-01-17|['Hachiōji, Tokyo', ', Japan']|https://en.wikipedia.org/wiki/Youki_Kudoh
Ludacris|False|1977-09-11|['Champaign, Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Ludacris
Kaori Momoi|True|1951-04-08|['Setagaya', ', ', 'Tokyo', ', ', 'Japan']|https://en.wikipedia.org/wiki/Kaori_Momoi
Steve Coogan|False|1965-10-14|['Middleton', ', ', 'Lancashire', ', England']|https://en.wikipedia.org/wiki/Steve_Coogan
Gong Li|True|1965-12-31|['Shenyang', ', ', 'Liaoning', ', China']|https://en.wikipedia.org/wiki/Gong_Li
Colin Hanks|False|1977-11-24|['Sacramento, California', ', U.S.']|https://en.wikipedia.org/wiki/Colin_Hanks
Ryan Phillippe|False|1974-09-10|['New Castle, Delaware', ', U.S.']|https://en.wikipedia.org/wiki/Ryan_Phillippe
Larenz Tate|False|1975-09-08|['Chicago, Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Larenz_Tate
Anna Popplewell|True|1988-12-16|['London', ', England']|https://en.wikipedia.org/wiki/Anna_Popplewell
William Moseley (actor)|False|1987-04-27|['Sheepscombe', ', ', 'Gloucestershire', ', England']|https://en.wikipedia.org/wiki/William_Moseley_(actor)
Randy Quaid|False|1950-10-01|['Houston', ', Texas, U.S.']|https://en.wikipedia.org/wiki/Randy_Quaid
Mark Pellegrino|False|1965-04-09|['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Mark_Pellegrino
Skandar Keynes|False|1991-09-05|[]|https://en.wikipedia.org/wiki/Skandar_Keynes
Georgie Henley|True|1995-07-09|['Ilkley', ', ', 'West Yorkshire', ', England']|https://en.wikipedia.org/wiki/Georgie_Henley
Pete Postlethwaite|False|1946-02-07|['Warrington', ', ', 'Lancashire', ', England']|https://en.wikipedia.org/wiki/Pete_Postlethwaite
Taryn Manning|True||['Falls Church, Virginia', ', U.S.']|https://en.wikipedia.org/wiki/Taryn_Manning
Clifton Collins Jr.|False||['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Clifton_Collins_Jr.
Thandiwe Newton|True|1972-11-06|['Westminster', ', ', 'United Kingdom']|https://en.wikipedia.org/wiki/Thandiwe_Newton
Rúaidhrí Conroy|False|1979-11-30|['Dublin', ', Ireland']|https://en.wikipedia.org/wiki/R%C3%BAaidhr%C3%AD_Conroy
Paula Jai Parker|True||['Cleveland', ', ', 'Ohio', ', U.S.']|https://en.wikipedia.org/wiki/Paula_Jai_Parker
Anna Faris|True|1976-11-29|['Baltimore, Maryland', ', U.S.']|https://en.wikipedia.org/wiki/Anna_Faris
Brendan Gleeson|False|1955-03-29|['Dublin', ', ', 'Ireland']|https://en.wikipedia.org/wiki/Brendan_Gleeson
Philip Seymour Hoffman|False|1967-07-23|['Fairport, New York', ', U.S.']|https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman
David Wilmot (actor)|False||[]|https://en.wikipedia.org/wiki/David_Wilmot_(actor)
Elise Neal|True|1966-03-14|['Memphis, Tennessee', ', U.S.']|https://en.wikipedia.org/wiki/Elise_Neal
DJ Qualls|False|1978-06-10|['Nashville, Tennessee', ', U.S.']|https://en.wikipedia.org/wiki/DJ_Qualls
Presley Chweneyagae|False|1984-10-19|['Mafikeng', ', South Africa']|https://en.wikipedia.org/wiki/Presley_Chweneyagae
Jake Gyllenhaal|False|1980-12-19|['Los Angeles, California', ', U.S.']|https://en.wikipedia.org/wiki/Jake_Gyllenhaal
Liam Neeson|False|1952-06-07|['Ballymena', ', ', 'Northern Ireland']|https://en.wikipedia.org/wiki/Liam_Neeson
Peter Sallis|False|1921-02-01|['Twickenham', ', ', 'Middlesex', ', England']|https://en.wikipedia.org/wiki/Peter_Sallis
Jennifer Esposito|True||['New York City, U.S.']|https://en.wikipedia.org/wiki/Jennifer_Esposito
Hilary Swank|True|1974-07-30|['Lincoln, Nebraska', ', U.S.']|https://en.wikipedia.org/wiki/Hilary_Swank
Orlando Bloom|False|1977-01-13|['Canterbury', ', ', 'Kent', ', England']|https://en.wikipedia.org/wiki/Orlando_Bloom
Keith Robinson (actor)|False|1974-01-17|[]|https://en.wikipedia.org/wiki/Keith_Robinson_(actor)
Peter Kay|False|1973-07-02|[]|https://en.wikipedia.org/wiki/Peter_Kay
Nicholas Smith (actor)|False|1934-03-05|['Banstead', ', ', 'Surrey', ', England']|https://en.wikipedia.org/wiki/Nicholas_Smith_(actor)
Koji Yakusho|False|1956-01-01|['Isahaya, Nagasaki', ', Japan']|https://en.wikipedia.org/wiki/K%C5%8Dji_Yakusho
Kazunari Ninomiya|False|1983-06-17|['Katsushika, Tokyo', ', Japan']|https://en.wikipedia.org/wiki/Kazunari_Ninomiya
Liz Smith (actress)|True|1921-12-11|['Crosby', ', ', 'Scunthorpe', ', ', 'Lincolnshire', ', England']|https://en.wikipedia.org/wiki/Liz_Smith_(actress)
Ken Watanabe|False|1959-10-21|['Hirokami', ', ', 'Niigata', ', Japan']|https://en.wikipedia.org/wiki/Ken_Watanabe
Sergi López (actor)|False|1965-12-22|['Vilanova i la Geltrú', ', Catalonia, Spain']|https://en.wikipedia.org/wiki/Sergi_L%C3%B3pez_(actor)
Clifton Powell|False|1956-03-16|['Washington, D.C.', ', U.S.']|https://en.wikipedia.org/wiki/Clifton_Powell
Helen Mirren|True|1945-07-26|['London, England']|https://en.wikipedia.org/wiki/Helen_Mirren
Harry Lennix|False|1964-11-16|['Chicago', ', ', 'Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Harry_Lennix
Julie Christie|True|1940-04-14|['Chabua', ', ', 'Assam', ', ', 'British India']|https://en.wikipedia.org/wiki/Julie_Christie
Peter O'Toole|False|1932-08-02|['Leeds', ', West Riding of Yorkshire, England', '[a]']|https://en.wikipedia.org/wiki/Peter_O%27Toole
Kate Winslet|True|1975-10-05|['Reading, Berkshire', ', England']|https://en.wikipedia.org/wiki/Kate_Winslet
Kate Beckinsale|True|1973-07-26|['London', ', England']|https://en.wikipedia.org/wiki/Kate_Beckinsale
Radha Mitchell|True|1973-11-12|['Melbourne', ', ', 'Victoria, Australia']|https://en.wikipedia.org/wiki/Radha_Mitchell
John C. Reilly|False|1965-05-24|['Chicago, Illinois', ', U.S.']|https://en.wikipedia.org/wiki/John_C._Reilly
Thomas Haden Church|False|1960-06-17|['Woodland, California', ', U.S.']|https://en.wikipedia.org/wiki/Thomas_Haden_Church
Paul Giamatti|False|1967-06-06|['New Haven, Connecticut', ', U.S.']|https://en.wikipedia.org/wiki/Paul_Giamatti
Richard Schiff|False|1955-05-27|['Bethesda, Maryland', ', U.S.']|https://en.wikipedia.org/wiki/Richard_Schiff
Dustin Hoffman|False|1937-08-08|['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Dustin_Hoffman
Reese Witherspoon|True|1976-03-22|['New Orleans', ', ', 'Louisiana', ', U.S.']|https://en.wikipedia.org/wiki/Reese_Witherspoon
Mazhar Munir|False||['London', ', ', 'England', ', ', 'UK']|https://en.wikipedia.org/wiki/Mazhar_Munir
Natalie Press|True|1980-08-15|['London', ', England']|https://en.wikipedia.org/wiki/Natalie_Press
Luis Guzmán|False|1956-08-28|['Cayey', ', ', 'Puerto Rico']|https://en.wikipedia.org/wiki/Luis_Guzm%C3%A1n
Alexander Siddig|False|1965-11-21|['Omdurman', ', ', 'Khartoum', ', Sudan']|https://en.wikipedia.org/wiki/Alexander_Siddig
Celso Bugallo|False|1947-03-12|['Sanxenxo', ', ', 'Galicia', ', Spain']|https://en.wikipedia.org/wiki/Celso_Bugallo
Donna Murphy|True|1959-03-07|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Donna_Murphy
Cedric the Entertainer|False|1964-04-24|[]|https://en.wikipedia.org/wiki/Cedric_the_Entertainer
Rosemary Harris|True|1927-09-19|['Ashby', ', ', 'Suffolk', ', England']|https://en.wikipedia.org/wiki/Rosemary_Harris
Mabel Rivera|True|1952-06-20|['Ferrol', ' (', 'Corunna', '), ', 'Spain']|https://en.wikipedia.org/wiki/Mabel_Rivera
Elizabeth Peña|True|1959-09-23|['Elizabeth, New Jersey.']|https://en.wikipedia.org/wiki/Elizabeth_Pe%C3%B1a
Lola Dueñas|True|1971-10-06|['Madrid', ', Spain']|https://en.wikipedia.org/wiki/Lola_Due%C3%B1as
Billy Connolly|False|1942-11-24|[]|https://en.wikipedia.org/wiki/Billy_Connolly
Chris Landreth|False|1961-08-04|['Hartford', ', ', 'Connecticut', ', U.S.']|https://en.wikipedia.org/wiki/Chris_Landreth
Amanda Peet|True|1972-01-11|['New York City, U.S.']|https://en.wikipedia.org/wiki/Amanda_Peet
Ryan Larkin|False|1943-07-31|['Montreal', ', ', 'Quebec', ', Canada']|https://en.wikipedia.org/wiki/Ryan_Larkin
Catherine O'Hara|True|1954-03-04|['Toronto, Ontario, Canada']|https://en.wikipedia.org/wiki/Catherine_O%27Hara
Mía Maestro|True|1978-06-19|['Buenos Aires', ', Argentina']|https://en.wikipedia.org/wiki/M%C3%ADa_Maestro
Derek Lamb|False||[]|https://en.wikipedia.org/wiki/Derek_Lamb
Liv Tyler|True|1977-07-01|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Liv_Tyler
Belén Rueda|True|1965-03-16|['Madrid', ', Spain']|https://en.wikipedia.org/wiki/Bel%C3%A9n_Rueda
Tim Blake Nelson|False|1964-05-11|['Tulsa, Oklahoma', ', U.S.']|https://en.wikipedia.org/wiki/Tim_Blake_Nelson
Robert Patrick|False|1958-11-05|['Marietta, Georgia', ', U.S.']|https://en.wikipedia.org/wiki/Robert_Patrick
Jason Lee (actor)|False|1970-04-25|['Santa Ana, California', ', U.S.']|https://en.wikipedia.org/wiki/Jason_Lee_(actor)
Sean Astin|False|1971-02-25|['Santa Monica, California', ', U.S.']|https://en.wikipedia.org/wiki/Sean_Astin
Albert Brooks|False|1947-07-22|['Beverly Hills, California', ', U.S.']|https://en.wikipedia.org/wiki/Albert_Brooks
Ellen DeGeneres|True|1958-01-26|[]|https://en.wikipedia.org/wiki/Ellen_DeGeneres
Alexander Gould|False|1994-05-04|['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Alexander_Gould
Rodrigo de la Serna|False|1976-04-18|['Buenos Aires', ', Argentina']|https://en.wikipedia.org/wiki/Rodrigo_de_la_Serna
John Rhys-Davies|False|1944-05-05|['Salisbury', ', ', 'Wiltshire', ', England']|https://en.wikipedia.org/wiki/John_Rhys-Davies
Tim Robbins|False|1958-10-16|['West Covina, California', ', U.S.']|https://en.wikipedia.org/wiki/Tim_Robbins
William Hurt|False|1950-03-20|['Washington, D.C.', ', U.S.']|https://en.wikipedia.org/wiki/William_Hurt
Ginnifer Goodwin|True|1978-05-22|['Memphis, Tennessee', ', U.S.']|https://en.wikipedia.org/wiki/Ginnifer_Goodwin
Bernard Hill|False|1944-12-17|['Blackley', ', ', 'Manchester', ', England']|https://en.wikipedia.org/wiki/Bernard_Hill
Kevin Bacon|False|1958-07-08|['Philadelphia', ', Pennsylvania, U.S.']|https://en.wikipedia.org/wiki/Kevin_Bacon
Billy Boyd (actor)|False|1968-08-28|['Glasgow', ', Scotland']|https://en.wikipedia.org/wiki/Billy_Boyd_(actor)
Laurence Fishburne|False|1961-07-30|['Augusta, Georgia', ', U.S.']|https://en.wikipedia.org/wiki/Laurence_Fishburne
Dorothée Berryman|True|1948-04-28|[]|https://en.wikipedia.org/wiki/Doroth%C3%A9e_Berryman
Dominic Monaghan|False|1976-12-08|['West Berlin', ', ', 'West Germany']|https://en.wikipedia.org/wiki/Dominic_Monaghan
Marcia Gay Harden|True|1959-08-14|['La Jolla', ', California, U.S.']|https://en.wikipedia.org/wiki/Marcia_Gay_Harden
Louise Portal|True||[]|https://en.wikipedia.org/wiki/Louise_Portal
Laura Linney|True|1964-02-05|['New York City, U.S.']|https://en.wikipedia.org/wiki/Laura_Linney
Julie Forsyth|True||[]|https://en.wikipedia.org/wiki/Julie_Forsyth
Marie-Josée Croze|True|1970-02-23|['Montreal, Quebec', ', Canada']|https://en.wikipedia.org/wiki/Marie-Jos%C3%A9e_Croze
Marina Hands|True|1975-01-10|['Paris, France']|https://en.wikipedia.org/wiki/Marina_Hands
Lee Tergesen|False|1965-07-08|['Ivoryton, Connecticut', ', U.S.']|https://en.wikipedia.org/wiki/Lee_Tergesen
Miranda Otto|True|1967-12-16|['Brisbane', ', ', 'Queensland', ', Australia']|https://en.wikipedia.org/wiki/Miranda_Otto
Donald Sutherland|False|1935-07-17|['Saint John, New Brunswick', ', ', 'Canada']|https://en.wikipedia.org/wiki/Donald_Sutherland
David Wenham|False|1965-09-21|['Marrickville', ', ', 'New South Wales', ', Australia']|https://en.wikipedia.org/wiki/David_Wenham
Richard Gere|False|1949-08-31|['Philadelphia, Pennsylvania', ', U.S.']|https://en.wikipedia.org/wiki/Richard_Gere
Catherine Zeta-Jones|True|1969-09-25|['Swansea', ', Wales']|https://en.wikipedia.org/wiki/Catherine_Zeta-Jones
Robert McNamara|False|1916-06-09|[]|https://en.wikipedia.org/wiki/Robert_McNamara
Frank Finlay|False|1926-08-06|['Farnworth', ', ', 'Lancashire', ', England']|https://en.wikipedia.org/wiki/Frank_Finlay
Christina Ricci|True|1980-02-12|['Santa Monica, California', ', U.S.']|https://en.wikipedia.org/wiki/Christina_Ricci
Queen Latifah|True|1970-03-18|['Newark, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Queen_Latifah
John Flaus|False||['Maroubra, New South Wales', ', Australia']|https://en.wikipedia.org/wiki/John_Flaus
John Noble|False|1948-08-20|['Port Pirie', ', ', 'South Australia', ', Australia', '[1]']|https://en.wikipedia.org/wiki/John_Noble
Maureen Lipman|True|1946-05-10|['Hull', ', ', 'East Riding of Yorkshire', ', England']|https://en.wikipedia.org/wiki/Maureen_Lipman
Christine Baranski|True|1952-05-02|['Buffalo, New York', ', U.S.']|https://en.wikipedia.org/wiki/Christine_Baranski
Emilia Fox|True|1974-07-31|['Hammersmith', ', ', 'London', ', England']|https://en.wikipedia.org/wiki/Emilia_Fox
Taye Diggs|False|1971-01-02|['Newark, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Taye_Diggs
Kamahl|False|1934-11-13|[]|https://en.wikipedia.org/wiki/Kamahl
Ed Stoppard|False|1974-09-16|['London, England']|https://en.wikipedia.org/wiki/Ed_Stoppard
Valeria Golino|True|1965-10-22|['Naples', ', ', 'Italy']|https://en.wikipedia.org/wiki/Valeria_Golino
Dominic West|False|1969-10-15|['Sheffield', ', ', 'Yorkshire', ', England']|https://en.wikipedia.org/wiki/Dominic_West
Leonor Watling|True|1975-07-28|[]|https://en.wikipedia.org/wiki/Leonor_Watling
Claire Danes|True|1979-04-12|['New York City, U.S.']|https://en.wikipedia.org/wiki/Claire_Danes
Jessica Kate Meyer|True||['Waban', ', ', 'Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Jessica_Kate_Meyer
Colm Feore|False|1958-08-22|['Boston', ', ', 'Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Colm_Feore
Antonio Banderas|False|1960-08-10|['Málaga', ', ', 'Andalusia', ', ', 'Spanish State', '(now ', 'Spain', ')']|https://en.wikipedia.org/wiki/Antonio_Banderas
Geraldine Chaplin|True|1944-07-31|['Santa Monica', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Geraldine_Chaplin
Cara Seymour|True|1964-01-06|['Essex', ', ', 'England', ', ', 'United Kingdom']|https://en.wikipedia.org/wiki/Cara_Seymour
Jeff Daniels|False|1955-02-19|['Athens, Georgia', ', U.S.']|https://en.wikipedia.org/wiki/Jeff_Daniels
Javier Cámara|False|1967-01-19|['Albelda de Iregua', ', Spain']|https://en.wikipedia.org/wiki/Javier_C%C3%A1mara
Darío Grandinetti|False|1959-03-05|['Rosario, Santa Fe', ', Argentina']|https://en.wikipedia.org/wiki/Dar%C3%ADo_Grandinetti
Sean Bean|False|1959-04-17|['Sheffield', ', England']|https://en.wikipedia.org/wiki/Sean_Bean
Yasuko Sawaguchi|True|1965-06-11|['Sakai', ', Osaka, Japan']|https://en.wikipedia.org/wiki/Yasuko_Sawaguchi
Mari Natsuki|True|1952-05-02|['Tokyo', ', ', 'Japan']|https://en.wikipedia.org/wiki/Mari_Natsuki
Rick Zieff|False|1961-11-01|['Weston, Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Rick_Zieff
Peter Lurie|False||[]|https://en.wikipedia.org/wiki/Peter_Lurie
Christopher Lee|False|1922-05-27|['Belgravia', ', ', 'London', ', England']|https://en.wikipedia.org/wiki/Christopher_Lee
Tsunehiko Kamijō|False|1940-03-07|['Nagano', ', Japan']|https://en.wikipedia.org/wiki/Tsunehiko_Kamij%C5%8D
Rosario Flores|True|1963-11-04|[]|https://en.wikipedia.org/wiki/Rosario_Flores
Merab Ninidze|False|1965-11-03|['Tbilisi', ', ', 'Georgian Soviet Socialist Republic', ', ', 'Soviet Union', '(now ', 'Georgia', ')']|https://en.wikipedia.org/wiki/Merab_Ninidze
Juliane Köhler|True|1965-08-06|['Göttingen', ', ', 'Lower Saxony', ', ', 'West Germany', ' (now ', 'Germany', ')']|https://en.wikipedia.org/wiki/Juliane_K%C3%B6hler
Miyu Irino|False|1988-02-19|['Tokyo', ', Japan']|https://en.wikipedia.org/wiki/Miyu_Irino
Brian Cox (actor)|False|1946-06-01|['Dundee', ', Scotland']|https://en.wikipedia.org/wiki/Brian_Cox_(actor)
Bunta Sugawara|False|1933-08-16|['Sendai', ', ', 'Empire of Japan']|https://en.wikipedia.org/wiki/Bunta_Sugawara
Mekhi Phifer|False|1974-12-29|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Mekhi_Phifer
Rumi Hiiragi|True|1987-08-01|['Tokyo', ', ', 'Japan']|https://en.wikipedia.org/wiki/Rumi_Hiiragi
Lucy Liu|True|1968-12-02|['Queens', ', New York City, U.S.']|https://en.wikipedia.org/wiki/Lucy_Liu
Jennifer Connelly|True|1970-12-12|['Cairo, New York', ', U.S.']|https://en.wikipedia.org/wiki/Jennifer_Connelly
Kim Basinger|True|1953-12-08|['Athens, Georgia', ', U.S.']|https://en.wikipedia.org/wiki/Kim_Basinger
Julia Rayner|True||[]|https://en.wikipedia.org/wiki/Julia_Rayner
Ed Harris|False|1950-11-28|['Englewood', ', ', 'New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Ed_Harris
Roger Rees|False|1944-05-05|['Aberystwyth', ', ', 'Cardiganshire', ', Wales']|https://en.wikipedia.org/wiki/Roger_Rees
Judd Hirsch|False|1935-03-15|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Judd_Hirsch
Eminem|False|1972-10-17|['St. Joseph, Missouri', ', U.S.']|https://en.wikipedia.org/wiki/Eminem
Josh Hartnett|False|1978-07-21|['Saint Paul, Minnesota', ', U.S.']|https://en.wikipedia.org/wiki/Josh_Hartnett
Paul Newman|False|1925-01-26|['Cleveland Heights, Ohio', ', U.S.']|https://en.wikipedia.org/wiki/Paul_Newman
Tom Sizemore|False|1961-11-29|['Detroit', ', ', 'Michigan', ', U.S.']|https://en.wikipedia.org/wiki/Tom_Sizemore
Anthony Rapp|False|1971-10-26|['Chicago', ', ', 'Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Anthony_Rapp
Alan Bates|False|1934-02-17|['Allestree', ', ', 'Derby', ', England']|https://en.wikipedia.org/wiki/Alan_Bates
Brad Dourif|False|1950-03-18|['Huntington', ', ', 'West Virginia', ', U.S.']|https://en.wikipedia.org/wiki/Brad_Dourif
William Fichtner|False|1956-11-27|['Long Island', ', ', 'New York', ', U.S.']|https://en.wikipedia.org/wiki/William_Fichtner
Richard Roxburgh|False|1962-01-23|['Albury', ', ', 'New South Wales', ', Australia']|https://en.wikipedia.org/wiki/Richard_Roxburgh
Billy Crystal|False|1948-03-14|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Billy_Crystal
Mary Gibbs (actress)|True|1996-10-05|['Pasadena', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Mary_Gibbs_(actress)
Sam Shepard|False|1943-11-05|['Fort Sheridan, Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Sam_Shepard
Jennifer Tilly|True|1958-09-16|['Los Angeles, California, U.S.']|https://en.wikipedia.org/wiki/Jennifer_Tilly
James Coburn|False|1928-08-31|['Laurel, Nebraska', ', U.S.']|https://en.wikipedia.org/wiki/James_Coburn
Hugh Bonneville|False|1963-11-10|['Paddington', ', ', 'London', ', England']|https://en.wikipedia.org/wiki/Hugh_Bonneville
Ewen Bremner|False|1972-01-23|['Portobello, Edinburgh', ', Scotland']|https://en.wikipedia.org/wiki/Ewen_Bremner
Steve Buscemi|False|1957-12-13|['New York City, U.S.']|https://en.wikipedia.org/wiki/Steve_Buscemi
Adam Goldberg|False|1970-10-25|['Santa Monica, California', ', U.S.']|https://en.wikipedia.org/wiki/Adam_Goldberg
Eileen Atkins|True|1934-06-16|['London', ', ', 'England']|https://en.wikipedia.org/wiki/Eileen_Atkins
Stéphane Rousseau|False|1966-09-17|['LaSalle', ', ', 'Quebec', ', Canada']|https://en.wikipedia.org/wiki/St%C3%A9phane_Rousseau
S. K. Thoth|False||[]|https://en.wikipedia.org/wiki/S._K._Thoth
Ben Affleck|False|1972-08-15|['Berkeley, California', ', U.S.']|https://en.wikipedia.org/wiki/Ben_Affleck
Jeremy Northam|False|1961-12-01|['Cambridge', ', ', 'Cambridgeshire', ', England']|https://en.wikipedia.org/wiki/Jeremy_Northam
Cameron Diaz|True|1972-08-30|['San Diego, California', ', U.S.']|https://en.wikipedia.org/wiki/Cameron_Diaz
Denzel Washington|False|1954-12-28|['Mount Vernon, New York', ', U.S.']|https://en.wikipedia.org/wiki/Denzel_Washington
Billy Bob Thornton|False|1955-08-04|['Hot Springs, Arkansas', ', U.S.']|https://en.wikipedia.org/wiki/Billy_Bob_Thornton
Halle Berry|True|1966-08-14|['Cleveland', ', Ohio, U.S.']|https://en.wikipedia.org/wiki/Halle_Berry
Mos Def|False|1973-12-11|[]|https://en.wikipedia.org/wiki/Mos_Def
Cliff Curtis|False|1968-07-27|['Rotorua', ', New Zealand']|https://en.wikipedia.org/wiki/Cliff_Curtis
Maggie Smith|True|1934-12-28|['Ilford', ', ', 'Essex', ', England']|https://en.wikipedia.org/wiki/Maggie_Smith
Sean Combs|False|1969-11-04|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Sean_Combs
Peter Boyle|False|1935-10-18|['Norristown, Pennsylvania', ', U.S.']|https://en.wikipedia.org/wiki/Peter_Boyle
Connie Nielsen|True|1965-07-03|['Frederikshavn', ', ', 'Denmark']|https://en.wikipedia.org/wiki/Connie_Nielsen
Branko Đurić|False|1962-05-28|['Sarajevo', ', ', 'PR Bosnia and Herzegovina', ', ', 'Yugoslavia']|https://en.wikipedia.org/wiki/Branko_%C4%90uri%C4%87
Snoop Dogg|False|1971-10-20|['Long Beach, California', ', U.S.']|https://en.wikipedia.org/wiki/Snoop_Dogg
Rémy Girard|False|1950-08-10|['Jonquière', ', ', 'Quebec', ', Canada']|https://en.wikipedia.org/wiki/R%C3%A9my_Girard
Ralf Moeller|False|1959-01-12|['Recklinghausen', ', ', 'West Germany']|https://en.wikipedia.org/wiki/Ralf_M%C3%B6ller
Dr. Dre|False|1965-02-18|['Compton, California', ', U.S.']|https://en.wikipedia.org/wiki/Dr._Dre
Rene Bitorajac|False|1972-03-02|['Zagreb', ', ', 'SR Croatia', ', ', 'SFR Yugoslavia']|https://en.wikipedia.org/wiki/Rene_Bitorajac
Oliver Reed|False|1938-02-13|['Wimbledon, London', ', England']|https://en.wikipedia.org/wiki/Oliver_Reed
Filip Šovagović|False|1966-09-13|['Zagreb', ', ', 'SR Croatia', ', ', 'SFR Yugoslavia']|https://en.wikipedia.org/wiki/Filip_%C5%A0ovagovi%C4%87
Don Cheadle|False|1964-11-29|['Kansas City, Missouri', ', U.S.']|https://en.wikipedia.org/wiki/Don_Cheadle
Djimon Hounsou|False|1964-04-24|['Cotonou', ', ', 'Dahomey', ' (present-day Cotonou, ', 'Benin', ')']|https://en.wikipedia.org/wiki/Djimon_Hounsou
Michael Douglas|False|1944-09-25|['New Brunswick, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Michael_Douglas
Billy Crudup|False|1968-07-08|['Manhasset, New York', ', U.S.']|https://en.wikipedia.org/wiki/Billy_Crudup
Patrick Fugit|False|1982-10-27|['Salt Lake City', ', ', 'Utah', ', U.S.']|https://en.wikipedia.org/wiki/Patrick_Fugit
Dennis Quaid|False|1954-04-09|['Houston', ', ', 'Texas', ', U.S.']|https://en.wikipedia.org/wiki/Dennis_Quaid
Benicio del Toro|False|1967-02-19|['San Germán, Puerto Rico']|https://en.wikipedia.org/wiki/Benicio_del_Toro
John Shrapnel|False|1942-04-27|['Birmingham', ', ', 'Warwickshire', ', England']|https://en.wikipedia.org/wiki/John_Shrapnel
Taylor Momsen|True|1993-07-26|['St. Louis', ', ', 'Missouri', ', U.S.']|https://en.wikipedia.org/wiki/Taylor_Momsen
Richard Harris|False|1930-10-01|['Limerick', ', Ireland']|https://en.wikipedia.org/wiki/Richard_Harris
Jeffrey Tambor|False|1944-07-08|['San Francisco', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Jeffrey_Tambor
Kate Hudson|True|1979-04-19|['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Kate_Hudson
Tommy Flanagan|False|1930-03-16|[]|https://en.wikipedia.org/wiki/Tommy_Flanagan
Marg Helgenberger|True|1958-11-16|['Fremont, Nebraska', ', U.S.']|https://en.wikipedia.org/wiki/Marg_Helgenberger
Bill Paxton|False|1955-05-17|['Fort Worth, Texas', ', U.S.']|https://en.wikipedia.org/wiki/Bill_Paxton
